Material,Density,AllowableStressMPa,PressureBar,InternalVolume,StoredEnergyMJ,Radius,Length,HeadDepth,ShellThickness,HeadThickness,Mass
SA-1008 CSA,7750,275,200,0.0349999986220274,163.799993551088,0.137894821364714,0.493968423852765,0.0689474106823572,0.0104862982026407,0.00506606034002391,46.5708571180244
SA-1008 CS-B,7750,275,200,0.0349999986220274,163.799993551088,0.137894821364714,0.493968423852765,0.0689474106823572,0.0104862982026407,0.00506606034002391,46.5708571180244
SA-675 45,7750,310,200,0.0349999990675131,163.799995635961,0.13790817606245,0.493846059691797,0.0689540880312249,0.0092555822860707,0.005,40.8847990987071
SA-134 A283A,7750,310,200,0.0349999990675131,163.799995635961,0.13790817606245,0.493846059691797,0.0689540880312249,0.0092555822860707,0.005,40.8847990987071
SA-283 A,7750,310,200,0.0349999990675131,163.799995635961,0.13790817606245,0.493846059691797,0.0689540880312249,0.0092555822860707,0.005,40.8847990987071
SA-285 A,7750,310,200,0.0349999990675131,163.799995635961,0.13790817606245,0.493846059691797,0.0689540880312249,0.0092555822860707,0.005,40.8847990987071
SA-672 A45,7750,310,200,0.0349999990675131,163.799995635961,0.13790817606245,0.493846059691797,0.0689540880312249,0.0092555822860707,0.005,40.8847990987071
SA-414 A,7750,310,200,0.0349999990675131,163.799995635961,0.13790817606245,0.493846059691797,0.0689540880312249,0.0092555822860707,0.005,40.8847990987071
SA-178 A,7750,325,200,0.0349999991651863,163.799996093072,0.137913183238811,0.493800188119625,0.0689565916194053,0.00881234397692064,0.005,38.8514078665019
SA-178 A,7750,325,200,0.0349999991651863,163.799996093072,0.137913183238811,0.493800188119625,0.0689565916194053,0.00881234397692064,0.005,38.8514078665019
SA-179,7750,325,200,0.0349999991651863,163.799996093072,0.137913183238811,0.493800188119625,0.0689565916194053,0.00881234397692064,0.005,38.8514078665019
SA-192,7750,325,200,0.0349999991651863,163.799996093072,0.137913183238811,0.493800188119625,0.0689565916194053,0.00881234397692064,0.005,38.8514078665019
SA-214,7750,325,200,0.0349999991651863,163.799996093072,0.137913183238811,0.493800188119625,0.0689565916194053,0.00881234397692064,0.005,38.8514078665019
SA-556 A2,7750,325,200,0.0349999991651863,163.799996093072,0.137913183238811,0.493800188119625,0.0689565916194053,0.00881234397692064,0.005,38.8514078665019
SA-557 A2,7750,325,200,0.0349999991651863,163.799996093072,0.137913183238811,0.493800188119625,0.0689565916194053,0.00881234397692064,0.005,38.8514078665019
SA-53 E/A,7750,330,200,0.0349999991352745,163.799995953084,0.137910982024835,0.493820353452886,0.0689554910124177,0.00867364666822845,0.005,38.2175303552126
